"Datum";"Omschrijving";"Bedrag";"Plaats";"Land"
"27-07-2026";"PATHE BIOSCOPEN";"24,13";"AMSTERDAM";"NLD"
"28-07-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-444,03";"AMSTERDAM";"NLD"
"04-08-2026";"NETFLIX.COM";"16,10";"AMSTERDAM";"NLD"
"04-08-2026";"SPOTIFY AB";"14,10";"AMSTERDAM";"NLD"
"05-08-2026";"OPENAI *CHATGPT SUBSCR";"22,32";"AMSTERDAM";"NLD"
"05-08-2026";"ANTHROPIC CLAUDE";"22,01";"AMSTERDAM";"NLD"
"10-08-2026";"BOL.COM B.V.";"84,09";"AMSTERDAM";"NLD"
"14-08-2026";"COOLBLUE";"123,60";"AMSTERDAM";"NLD"
"20-08-2026";"ZALANDO PAYMENTS";"98,05";"AMSTERDAM";"NLD"
"22-08-2026";"ALBERT HEIJN 1533";"39,98";"AMSTERDAM";"NLD"
"27-08-2026";"PATHE BIOSCOPEN";"26,45";"AMSTERDAM";"NLD"
"28-08-2026";"BETALING ONTVANGEN - HARTELIJK DANK";"-446,70";"AMSTERDAM";"NLD"
